id,parent,name,level,hid,iso639_3,latitude,longitude,macroareas,countries,timespan,branch,parent_name,id.1,family,family_id,macroarea,nr_macroarea,Genus.wals,Area.autotyp,Family.wals
nige1255,mamb1312,Western Mambila,language,mzk,mzk,6.69736,11.3161,['Africa'],"['Cameroon', 'Nigeria']",,Mambila,Mambila,nige1255,Atlantic-Congo,atla1278,Africa,1,,,
vute1244,vute1246,Vute,language,vut,vut,6.13603,11.8839,['Africa'],"['Cameroon', 'Nigeria']",,Vute-Wawa,Vute-Wawa,vute1244,Atlantic-Congo,atla1278,Africa,1,,,
tika1246,nort3168,Tikar,language,tik,tik,5.87004,11.6104,['Africa'],['Cameroon'],,Northern Bantoid,Northern Bantoid,tika1246,Atlantic-Congo,atla1278,Africa,1,Tikar,African Savannah,Niger-Congo
noon1243,noon1245,Noone,language,nhu,nhu,6.37256,10.5707,['Africa'],['Cameroon'],,Nooni-Ncane,Nooni-Ncane,noon1243,Atlantic-Congo,atla1278,Africa,1,Beboid,African Savannah,Niger-Congo
bekw1241,bend1256,Bekwarra,language,bkv,bkv,6.73737,8.86489,['Africa'],['Nigeria'],,Bendic,Bendic,bekw1241,Atlantic-Congo,atla1278,Africa,1,,,
ekaj1238,nnam1239,Ekajuk,language,eka,eka,6.45731,8.55058,['Africa'],['Nigeria'],,Bakor,Nnam-Ekajuk,ekaj1238,Atlantic-Congo,atla1278,Africa,1,,,
ejag1239,ejag1240,Ejagham,language,etu,etu,5.54442,8.90959,['Africa'],"['Cameroon', 'Nigeria']",,Bakor-Ejagham,Bakor-Ejagham,ejag1239,Atlantic-Congo,atla1278,Africa,1,Ekoid-Mbe,African Savannah,Niger-Congo
deny1238,kend1255,Denya,language,anv,anv,5.97237,9.39989,['Africa'],"['Cameroon', 'Nigeria']",,Kendem-Denya,Kendem-Denya,deny1238,Atlantic-Congo,atla1278,Africa,1,,,
keny1279,mamf1238,Kenyang,language,ken,ken,5.58288,9.55918,['Africa'],['Cameroon'],,Mamfe,Mamfe,keny1279,Atlantic-Congo,atla1278,Africa,1,Mamfe,African Savannah,Niger-Congo
bafi1243,lefa1243,Bafia,language,ksf,ksf,4.72603,11.0982,['Africa'],['Cameroon'],,Lefa-Bafia,Lefa-Bafia,bafi1243,Atlantic-Congo,atla1278,Africa,1,Bantu,African Savannah,Niger-Congo
bulu1251,yaun1239,Bulu (Cameroon),language,bum,bum,3.16141,11.6365,['Africa'],['Cameroon'],,Yaunde-Fang (A.70),Yaunde-Fang (A.70),bulu1251,Atlantic-Congo,atla1278,Africa,1,Bantu,African Savannah,Niger-Congo
akoo1248,cent2284,Akoose,language,bss,bss,4.9243,9.65522,['Africa'],['Cameroon'],,Central Manenguba,Central Manenguba,akoo1248,Atlantic-Congo,atla1278,Africa,1,,,
kako1242,maka1327,Kako,language,kkj,kkj,3.79989,15.6282,['Africa'],"['Central African Republic', 'Congo', 'Cameroon']",,Makaa-Njem (A.80),Makaa-Kako (A.80-90),kako1242,Atlantic-Congo,atla1278,Africa,1,,,
koon1245,njem1234,Koonzime,language,ozm,ozm,3.25933,13.54152,['Africa'],['Cameroon'],,Njemic,Njemic,koon1245,Atlantic-Congo,atla1278,Africa,1,,,
maka1304,nort3375,Makaa,language,mcp,mcp,4.15471,13.0789,['Africa'],['Cameroon'],,Makaaic,North-Central Makaaic,maka1304,Atlantic-Congo,atla1278,Africa,1,Bantu,African Savannah,Niger-Congo
mbun1249,mbwe1239,Mbunda,language,mck,mck,-14.603,21.9768,['Africa'],"['Angola', 'Zambia']",,Mbwela-Mbunda,Mbwela-Mbunda,mbun1249,Atlantic-Congo,atla1278,Africa,1,,,
zemb1238,here1252,Zemba,language,dhm,dhm,-17.2958,13.4424,['Africa'],"['Angola', 'Namibia']",,Herero (R.30),Herero (R.30),zemb1238,Atlantic-Congo,atla1278,Africa,1,,,
kuan1247,ndon1253,Kuanyama,language,kua,kua,-17.7176,16.58,['Africa'],"['Angola', 'Namibia']",,Ndonga (R.20),Ndonga (R.20),kuan1247,Atlantic-Congo,atla1278,Africa,1,,,
ndon1254,kwam1257,Ndonga,language,ndo,ndo,-17.22,17.35,['Africa'],"['Angola', 'Namibia']",,Kwambi-Ndonga,Kwambi-Ndonga,ndon1254,Atlantic-Congo,atla1278,Africa,1,Bantu,S Africa,Niger-Congo
kele1255,kele1265,Kele-Foma,language,khy,khy,0.36906,24.3098,['Africa'],"['Congo, The Democratic Republic of the']",,Kele-Lombo,Kele-Lombo,kele1255,Atlantic-Congo,atla1278,Africa,1,,,
mong1338,lomo1242,Mongo,language,lol,lol,-1.54228,20.4259,['Africa'],"['Congo, The Democratic Republic of the']",,Lomongo,Lomongo,mong1338,Atlantic-Congo,atla1278,Africa,1,Bantu,S Africa,Niger-Congo
ngom1268,ngom1274,Ngombe (Democratic Republic of Congo),language,ngc,ngc,1.45357,20.14148,['Africa'],"['Congo, The Democratic Republic of the', 'Central African Republic']",,Ngombe-Genja,Ngombe-Genja,ngom1268,Atlantic-Congo,atla1278,Africa,1,Bantu,S Africa,Niger-Congo
loba1239,loba1240,Lobala,language,loq,loq,2.04881,18.3667,['Africa'],"['Congo, The Democratic Republic of the', 'Congo']",,Ngiri Riverain Ubangi-Interieur,Lobalic,loba1239,Atlantic-Congo,atla1278,Africa,1,,,
ling1263,ling1269,Kinshasa Lingala,language,lin,lin,-4.409174,15.28532,['Africa'],"['Congo, The Democratic Republic of the', 'Central African Republic', 'Congo']",,Lingala-Bangala,Lingala-Bangala,ling1263,Atlantic-Congo,atla1278,Africa,1,Bantu,S Africa,Niger-Congo
beem1239,kiko1234,Beembe,language,beq,beq,-3.95895,14.1,['Africa'],['Congo'],,Nuclear Northern Kikongo,Kikongoic,beem1239,Atlantic-Congo,atla1278,Africa,1,Bantu,S Africa,Niger-Congo
laar1238,nort3267,Laari,language,ldi,ldi,-4.25,14.9,['Africa'],"['Angola', 'Congo, The Democratic Republic of the', 'Congo']",,Nuclear Northern Kikongo,Nuclear Northern Kikongo,laar1238,Atlantic-Congo,atla1278,Africa,1,,,
koon1244,koon1247,South-Central Koongo,language,kng,kng,-5.57722,14.4771,['Africa'],"['Angola', 'Congo, The Democratic Republic of the', 'Congo']",,Koongo-Kituba,Koongo-Kituba,koon1244,Atlantic-Congo,atla1278,Africa,1,,,
ilaa1246,kafu1239,Ila,language,ilb,ilb,-15.60807,26.45548,['Africa'],['Zambia'],,Kafue,Kafue,ilaa1246,Atlantic-Congo,atla1278,Africa,1,Bantu,S Africa,Niger-Congo
lenj1248,kafu1239,Lenje,language,leh,leh,-14.7192,28.2581,['Africa'],['Zambia'],,Kafue,Kafue,lenj1248,Atlantic-Congo,atla1278,Africa,1,,,
lamb1272,nyik1250,Lambya,language,lai,lai,-9.49372,33.15852,['Africa'],"['Malawi', 'Tanzania, United Republic of', 'Zambia']",,Nyika-Lambya,Nyika-Lambya,lamb1272,Atlantic-Congo,atla1278,Africa,1,,,
nyak1260,nyak1264,Nyakyusa-Ngonde,language,nyy,nyy,-9.71018,33.7763,['Africa'],"['Malawi', 'Tanzania, United Republic of']",,Nyakyusa-Ndali,Nyakyusa-Ndali,nyak1260,Atlantic-Congo,atla1278,Africa,1,,,
koti1238,maku1247,Koti,language,eko,eko,-16.4823,39.7602,['Africa'],['Mozambique'],,North Mozambique Bantu,North Mozambique Bantu,koti1238,Atlantic-Congo,atla1278,Africa,1,Bantu,S Africa,Niger-Congo
makh1261,maku1279,Makhuwa-Meetto,language,mgh,mgh,-11.9553,38.6874,['Africa'],"['Mozambique', 'Tanzania, United Republic of']",,Makua-Lomwe,Makua-Lomwe,makh1261,Atlantic-Congo,atla1278,Africa,1,,,
thar1283,nort3214,Tharaka,language,thk,thk,-0.13221,38.073,['Africa'],['Kenya'],,Northern Central Kenya Bantu,Northern Central Kenya Bantu,thar1283,Atlantic-Congo,atla1278,Africa,1,,,
